canonical_symbol,binance_symbol,delta_symbol,listed_on_binance,listed_on_delta
ENS,ENSUSDT,,True,False
ENSO,ENSOUSDT,,True,False
EPIC,EPICUSDT,,True,False
ERA,ERAUSDT,,True,False
ESP,ESPUSDT,,True,False
ESPORTS,ESPORTSUSDT,,True,False
ETC,ETCUSDT,,True,False
ETH,ETHUSDT,ETHUSD,True,True
ETHFI,ETHFIUSDT,,True,False
ETHW,ETHWUSDT,,True,False
EUL,EULUSDT,,True,False
EVAA,EVAAUSDT,,True,False
F,FUSDT,,True,False
FARTCOIN,FARTCOINUSDT,,True,False
FET,FETUSDT,,True,False
FF,FFUSDT,,True,False
FHE,FHEUSDT,,True,False
FIDA,FIDAUSDT,,True,False
FIGHT,FIGHTUSDT,,True,False
FIL,FILUSDT,,True,False
FLOCK,FLOCKUSDT,,True,False
FLOW,FLOWUSDT,,True,False
FLUID,FLUIDUSDT,,True,False
FLUX,FLUXUSDT,,True,False
FOGO,FOGOUSDT,,True,False
FOLKS,FOLKSUSDT,,True,False
FORM,FORMUSDT,,True,False
FRAX,FRAXUSDT,,True,False
G,GUSDT,,True,False
GALA,GALAUSDT,,True,False
GAS,GASUSDT,,True,False
GENIUS,GENIUSUSDT,,True,False
GIGGLE,GIGGLEUSDT,,True,False
GLM,GLMUSDT,,True,False
GMT,GMTUSDT,,True,False
GMX,GMXUSDT,,True,False
GOAT,GOATUSDT,,True,False
GPS,GPSUSDT,,True,False
GRASS,GRASSUSDT,,True,False
GRIFFAIN,GRIFFAINUSDT,,True,False
GRT,GRTUSDT,,True,False
GTC,GTCUSDT,,True,False
GUA,GUAUSDT,,True,False
GUN,GUNUSDT,,True,False
GWEI,GWEIUSDT,,True,False
H,HUSDT,,True,False
HAEDAL,HAEDALUSDT,,True,False
HANA,HANAUSDT,,True,False
HBAR,HBARUSDT,,True,False
HEI,HEIUSDT,,True,False
HEMI,HEMIUSDT,,True,False
HFT,HFTUSDT,,True,False
HIGH,HIGHUSDT,,True,False
HIVE,HIVEUSDT,,True,False
HMSTR,HMSTRUSDT,,True,False
HOLO,HOLOUSDT,,True,False
HOME,HOMEUSDT,,True,False
HOT,HOTUSDT,,True,False
HUMA,HUMAUSDT,,True,False
HYPE,HYPEUSDT,,True,False
HYPER,HYPERUSDT,,True,False
ICNT,ICNTUSDT,,True,False
ICP,ICPUSDT,,True,False
ICX,ICXUSDT,,True,False
ID,IDUSDT,,True,False
IDOL,IDOLUSDT,,True,False
ILV,ILVUSDT,,True,False
IMX,IMXUSDT,,True,False
IN,INUSDT,,True,False
INIT,INITUSDT,,True,False
INJ,INJUSDT,,True,False
INX,INXUSDT,,True,False
IO,IOUSDT,,True,False
IOST,IOSTUSDT,,True,False
IOTA,IOTAUSDT,,True,False
IOTX,IOTXUSDT,,True,False
IP,IPUSDT,,True,False
IRYS,IRYSUSDT,,True,False
JASMY,JASMYUSDT,,True,False
JCT,JCTUSDT,,True,False
JELLYJELLY,JELLYJELLYUSDT,,True,False
JOE,JOEUSDT,,True,False
JST,JSTUSDT,,True,False
JTO,JTOUSDT,,True,False
JUP,JUPUSDT,,True,False
KAIA,KAIAUSDT,,True,False
KAITO,KAITOUSDT,,True,False
KAS,KASUSDT,,True,False
KAT,KATUSDT,,True,False
KAVA,KAVAUSDT,,True,False
KERNEL,KERNELUSDT,,True,False
KGEN,KGENUSDT,,True,False
KITE,KITEUSDT,,True,False
KMNO,KMNOUSDT,,True,False
KNC,KNCUSDT,,True,False
KOMA,KOMAUSDT,,True,False
KSM,KSMUSDT,,True,False
LA,LAUSDT,,True,False
LAB,LABUSDT,,True,False
LAYER,LAYERUSDT,,True,False
LDO,LDOUSDT,,True,False
LIGHT,LIGHTUSDT,,True,False
LINEA,LINEAUSDT,,True,False
LINK,LINKUSDT,,True,False
LISTA,LISTAUSDT,,True,False
LIT,LITUSDT,,True,False
LPT,LPTUSDT,,True,False
LQTY,LQTYUSDT,,True,False
LSK,LSKUSDT,,True,False
LTC,LTCUSDT,,True,False
LUMIA,LUMIAUSDT,,True,False
LUNA2,LUNA2USDT,,True,False
LYN,LYNUSDT,,True,False
M,MUSDT,,True,False
MAGIC,MAGICUSDT,,True,False
MAGMA,MAGMAUSDT,,True,False
MANA,MANAUSDT,,True,False
MANTA,MANTAUSDT,,True,False
MANTRA,MANTRAUSDT,,True,False
MASK,MASKUSDT,,True,False
MAV,MAVUSDT,,True,False
MAVIA,MAVIAUSDT,,True,False
MBOX,MBOXUSDT,,True,False
ME,MEUSDT,,True,False
MEGA,MEGAUSDT,,True,False
MELANIA,MELANIAUSDT,,True,False
MEME,MEMEUSDT,,True,False
MERL,MERLUSDT,,True,False
MET,METUSDT,,True,False
METIS,METISUSDT,,True,False
MEW,MEWUSDT,,True,False
MINA,MINAUSDT,,True,False
MIRA,MIRAUSDT,,True,False
MITO,MITOUSDT,,True,False
MLN,MLNUSDT,,True,False
MMT,MMTUSDT,,True,False
MOCA,MOCAUSDT,,True,False
MON,MONUSDT,,True,False
MOODENG,MOODENGUSDT,,True,False
MORPHO,MORPHOUSDT,,True,False
MOVE,MOVEUSDT,,True,False
MOVR,MOVRUSDT,,True,False
MTL,MTLUSDT,,True,False
MUBARAK,MUBARAKUSDT,,True,False
MYX,MYXUSDT,,True,False
NAORIS,NAORISUSDT,,True,False
NEAR,NEARUSDT,,True,False
NEIRO,NEIROUSDT,,True,False
NEO,NEOUSDT,,True,False
NEWT,NEWTUSDT,,True,False
NFP,NFPUSDT,,True,False
NIGHT,NIGHTUSDT,,True,False
NIL,NILUSDT,,True,False
NMR,NMRUSDT,,True,False
NOM,NOMUSDT,,True,False
NOT,NOTUSDT,,True,False
NVDAX,,NVDAXUSD,False,True
NXPC,NXPCUSDT,,True,False
OG,OGUSDT,,True,False
OGN,OGNUSDT,,True,False
ON,ONUSDT,,True,False
ONDO,ONDOUSDT,ONDOUSD,True,True
ONE,ONEUSDT,,True,False
ONG,ONGUSDT,,True,False
ONT,ONTUSDT,,True,False
OP,OPUSDT,,True,False
OPEN,OPENUSDT,,True,False
OPG,OPGUSDT,,True,False
OPN,OPNUSDT,,True,False
ORCA,ORCAUSDT,,True,False
ORDER,ORDERUSDT,,True,False
ORDI,ORDIUSDT,,True,False
PARTI,PARTIUSDT,,True,False
PAXG,PAXGUSDT,PAXGUSD,True,True
PENDLE,PENDLEUSDT,,True,False
PENGU,PENGUUSDT,,True,False
PEOPLE,PEOPLEUSDT,,True,False
PHA,PHAUSDT,,True,False
PHB,PHBUSDT,,True,False
